Internal,Temperature,Humidity,Year,Month,Day,Hour,Minute,Second
81.52258,30,16,2023,12,3,13,37,8
81.52258,30,16,2023,12,3,13,37,11
80.67992,30,16,2023,12,3,13,37,15
80.67992,30,16,2023,12,3,13,37,18
80.67992,29,16,2023,12,3,13,37,21
81.52258,29,17,2023,12,3,13,37,25
81.52258,29,17,2023,12,3,13,37,28
81.52258,29,17,2023,12,3,13,37,31
80.67992,29,17,2023,12,3,13,37,35
81.52258,29,18,2023,12,3,13,37,38
80.67992,29,18,2023,12,3,13,37,41
80.67992,28,18,2023,12,3,13,37,45
81.52258,28,18,2023,12,3,13,37,48
80.67992,28,18,2023,12,3,13,37,51
81.52258,28,19,2023,12,3,13,37,55
75.62396,28,19,2023,12,3,14,21,14
80.67992,28,20,2023,12,3,14,21,17
80.67992,26,22,2023,12,3,14,21,20
81.52258,25,24,2023,12,3,14,21,24
80.67992,24,26,2023,12,3,14,21,27
81.52258,23,28,2023,12,3,14,21,30
81.52258,23,29,2023,12,3,14,21,34
81.52258,23,30,2023,12,3,14,21,37
80.67992,23,30,2023,12,3,14,21,40
81.52258,23,30,2023,12,3,14,21,44
80.67992,23,30,2023,12,3,14,21,47
81.52258,23,30,2023,12,3,14,21,50
81.52258,23,30,2023,12,3,14,21,54
81.52258,23,30,2023,12,3,14,21,57
81.52258,23,30,2023,12,3,14,22,0
81.52258,23,30,2023,12,3,14,22,4
81.52258,23,30,2023,12,3,14,22,7
81.52258,23,30,2023,12,3,14,22,10
81.52258,23,30,2023,12,3,14,22,14
80.67992,23,30,2023,12,3,14,22,19
81.52258,23,30,2023,12,3,14,22,22
81.52258,23,30,2023,12,3,14,22,26
81.52258,23,30,2023,12,3,14,22,29
81.52258,23,30,2023,12,3,14,22,32
81.52258,23,30,2023,12,3,14,22,36
81.52258,23,30,2023,12,3,14,22,39
81.52258,23,30,2023,12,3,14,22,42
80.67992,23,30,2023,12,3,14,22,46
81.52258,23,30,2023,12,3,14,22,49
81.52258,23,30,2023,12,3,14,22,52
81.52258,23,30,2023,12,3,14,23,1
81.52258,23,30,2023,12,3,14,23,6
80.67992,23,30,2023,12,3,14,23,9
81.52258,23,30,2023,12,3,14,23,12
81.52258,23,30,2023,12,3,14,23,16
81.52258,23,30,2023,12,3,14,23,19
81.52258,23,30,2023,12,3,14,23,22
81.52258,23,30,2023,12,3,14,23,26
81.52258,23,30,2023,12,3,14,23,29
80.67992,23,30,2023,12,3,14,23,32
81.52258,23,30,2023,12,3,14,23,36
81.52258,23,30,2023,12,3,14,23,39
81.52258,23,30,2023,12,3,14,23,42
81.52258,23,30,2023,12,3,14,23,46
81.52258,23,30,2023,12,3,14,23,49
81.52258,23,30,2023,12,3,14,23,52
81.52258,23,30,2023,12,3,14,23,56
81.52258,23,30,2023,12,3,14,23,59
80.67992,23,30,2023,12,3,14,24,2
81.52258,23,31,2023,12,3,14,24,6
81.52258,23,31,2023,12,3,14,24,9
81.52258,23,32,2023,12,3,14,24,12
81.52258,23,32,2023,12,3,14,24,16
81.52258,23,32,2023,12,3,14,24,19
